id_ispitanika,fakultet,razina_studija,godina_studija,podrucje_studija,prosjecna_uspjesnost,kolegij,ects_kolegija,tezina_kolegija,bodovi_kolegija,tip_obveze,tip_izvorni,max_bodova,tezina_obveze,sigurnost_prije,dani_ucenja,sati_ucenja,ostvareni_bodovi,polozeno_prvi_put
5,Prirodoslovno-matematički fakultet (Zagreb),Diplomski studij,2. godina,Tehničke znanosti,Vrlo dobra,Markovljevi lanci,5.0,8.0,100,Mini test,Mini test,10.0,3.0,1.0,5.0,25.0,1,Nije primjenjivo
5,Prirodoslovno-matematički fakultet (Zagreb),Diplomski studij,2. godina,Tehničke znanosti,Vrlo dobra,Markovljevi lanci,5.0,8.0,100,Ispit,Ispit,90.0,9.0,4.0,21.0,100.0,49,Ne
5,Prirodoslovno-matematički fakultet (Zagreb),Diplomski studij,2. godina,Tehničke znanosti,Vrlo dobra,Teorija vjerojatnosti,5.0,7.0,100,Kolokvij,Kolokvij,50.0,6.0,1.0,14.0,70.0,25,Nije primjenjivo
5,Prirodoslovno-matematički fakultet (Zagreb),Diplomski studij,2. godina,Tehničke znanosti,Vrlo dobra,Teorija vjerojatnosti,5.0,7.0,100,Kolokvij,Kolokvij,50.0,7.0,3.0,5.0,37.0,27,Da
5,Prirodoslovno-matematički fakultet (Zagreb),Diplomski studij,2. godina,Tehničke znanosti,Vrlo dobra,Bayesovska statistika,5.0,4.0,100.0,Ispit,Ispit,100.0,5.0,3.0,7.0,21.0,50,Da
6,Ostalo (nije na popisu),Diplomski studij,1. godina,Tehničke znanosti,Vrlo dobra,Električke energetske pretvorne,5.0,7.0,90,Kolokvij,Kolokvij,50.0,7.0,5.0,2.0,15.0,45,Da
6,Ostalo (nije na popisu),Diplomski studij,1. godina,Tehničke znanosti,Vrlo dobra,Električke energetske pretvorne,5.0,7.0,90,Labos,Labos,100.0,5.0,7.0,1.0,2.0,96,Da
6,Ostalo (nije na popisu),Diplomski studij,1. godina,Tehničke znanosti,Vrlo dobra,Mobilne komunikacijske mreze,6.0,8.0,120,Seminar,Seminar,50.0,8.0,4.0,3.0,20.0,50,Da
6,Ostalo (nije na popisu),Diplomski studij,1. godina,Tehničke znanosti,Vrlo dobra,Mobilne komunikacijske mreze,6.0,8.0,120,Kolokvij,Kolokvij,200.0,9.0,4.0,4.0,30.0,185,Da
6,Ostalo (nije na popisu),Diplomski studij,1. godina,Tehničke znanosti,Vrlo dobra,Elektricitet i magnetizam,8.0,10.0,200.0,Ispit,Ispit,200.0,10.0,3.0,7.0,50.0,188,Ne
6,Ostalo (nije na popisu),Diplomski studij,1. godina,Tehničke znanosti,Vrlo dobra,Elektricitet i magnetizam,8.0,10.0,200.0,Usmeni ispit,Usmeni ispit,50.0,7.0,3.0,1.0,1.0,1.0,Da
7,Effectus veleučilište,Preddiplomski studij,3. godina,Ostalo,Vrlo dobra,Osnove računovodstva,7.0,8.0,104,Kolokvij,Kolokvij,48.0,8.0,5.0,16.0,48.0,24,Ne
7,Effectus veleučilište,Preddiplomski studij,3. godina,Ostalo,Vrlo dobra,Osnove računovodstva,7.0,8.0,104,Kolokvij,Kolokvij,48.0,9.0,5.0,16.0,48.0,29,Ne
7,Effectus veleučilište,Preddiplomski studij,3. godina,Ostalo,Vrlo dobra,Financijska matematika,5.0,5.0,104,Kolokvij,Kolokvij,48.0,4.0,8.0,10.0,30.0,46,Da
7,Effectus veleučilište,Preddiplomski studij,3. godina,Ostalo,Vrlo dobra,Financijska matematika,5.0,5.0,104,Kolokvij,Kolokvij,48.0,5.0,8.0,10.0,30.0,45,Da
