ects_kolegija,tezina_kolegija,postotak_ocjene,tezina_obveze,sigurnost_prije,tip_Ispit,tip_Kolokvij,tip_Labos,tip_Mini test,tip_Ostalo,tip_Projekt,tip_Seminar,tip_Usmeni ispit,tip_Zadaće,sati_ucenja,sati_ucenja_log,id_ispitanika
5.0,8.0,10.0,3.0,1.0,False,False,False,True,False,False,False,False,False,25.0,3.258096538021482,5
5.0,8.0,90.0,9.0,4.0,True,False,False,False,False,False,False,False,False,100.0,4.61512051684126,5
5.0,7.0,50.0,6.0,1.0,False,True,False,False,False,False,False,False,False,70.0,4.2626798770413155,5
5.0,7.0,50.0,7.0,3.0,False,True,False,False,False,False,False,False,False,37.0,3.6375861597263857,5
5.0,4.0,100.0,5.0,3.0,True,False,False,False,False,False,False,False,False,21.0,3.091042453358316,5
5.0,7.0,55.6,7.0,5.0,False,True,False,False,False,False,False,False,False,15.0,2.772588722239781,6
5.0,7.0,111.1,5.0,7.0,False,False,True,False,False,False,False,False,False,2.0,1.0986122886681098,6
6.0,8.0,41.7,8.0,4.0,False,False,False,False,False,False,True,False,False,20.0,3.044522437723423,6
6.0,8.0,166.7,9.0,4.0,False,True,False,False,False,False,False,False,False,30.0,3.4339872044851463,6
8.0,10.0,100.0,10.0,3.0,True,False,False,False,False,False,False,False,False,50.0,3.9318256327243257,6
8.0,10.0,25.0,7.0,3.0,False,False,False,False,False,False,False,True,False,1.0,0.6931471805599453,6
7.0,8.0,46.2,8.0,5.0,False,True,False,False,False,False,False,False,False,48.0,3.8918202981106265,7
7.0,8.0,46.2,9.0,5.0,False,True,False,False,False,False,False,False,False,48.0,3.8918202981106265,7
5.0,5.0,46.2,4.0,8.0,False,True,False,False,False,False,False,False,False,30.0,3.4339872044851463,7
5.0,5.0,46.2,5.0,8.0,False,True,False,False,False,False,False,False,False,30.0,3.4339872044851463,7
7.0,8.0,100.0,7.0,7.0,True,False,False,False,False,False,False,False,False,42.0,3.7612001156935624,7
6.0,7.0,100.0,8.0,7.0,True,False,False,False,False,False,False,False,False,100.0,4.61512051684126,8
6.0,7.0,5.0,6.0,8.0,False,False,False,False,False,False,False,False,True,15.0,2.772588722239781,8
5.0,10.0,100.0,10.0,3.0,False,False,False,False,False,True,False,False,False,150.0,5.017279836814924,8
5.0,6.0,100.0,6.0,8.0,True,False,False,False,False,False,False,False,False,10.0,2.3978952727983707,8
7.0,4.0,50.0,6.0,3.0,False,True,False,False,False,False,False,False,False,35.0,3.58351893845611,9
7.0,4.0,3.8,5.0,5.0,False,False,False,False,False,False,False,True,False,10.0,2.3978952727983707,9
7.0,8.0,285.7,7.0,2.0,False,False,False,False,False,False,False,True,False,10.0,2.3978952727983707,9
7.0,8.0,100.0,8.0,4.0,False,False,False,False,False,False,False,True,False,80.0,4.394449154672439,9
7.0,7.0,100.0,7.0,3.0,True,False,False,False,False,False,False,False,False,80.0,4.394449154672439,9
7.0,7.0,25.0,7.0,5.0,False,False,False,False,False,False,False,True,False,35.0,3.58351893845611,9
24.0,10.0,60.0,8.0,7.0,True,False,False,False,False,False,False,False,False,150.0,5.017279836814924,10
24.0,10.0,60.0,9.0,8.0,True,False,False,False,False,False,False,False,False,180.0,5.198497031265826,10
8.0,7.0,33.3,7.0,9.0,True,False,False,False,False,False,False,False,False,40.0,3.713572066704308,10
8.0,7.0,33.3,7.0,7.0,True,False,False,False,False,False,False,False,False,36.0,3.6109179126442243,10
10.0,6.0,100.0,7.0,2.0,True,False,False,False,False,False,False,False,False,50.0,3.9318256327243257,10
10.0,6.0,0.0,7.0,6.0,False,False,False,False,False,False,False,True,False,25.0,3.258096538021482,10
15.0,9.0,100.0,8.0,3.0,True,False,False,False,False,False,False,False,False,60.0,4.110873864173311,11
15.0,9.0,100.0,8.0,3.0,True,False,False,False,False,False,False,False,False,60.0,4.110873864173311,11
5.0,2.0,10.0,2.0,7.0,False,False,False,False,False,False,True,False,False,6.0,1.9459101490553132,11
5.0,2.0,20.0,3.0,6.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,11
8.0,7.0,100.0,7.0,6.0,True,False,False,False,False,False,False,False,False,20.0,3.044522437723423,11
8.0,7.0,30.0,6.0,6.0,False,False,False,False,False,False,False,True,False,20.0,3.044522437723423,11
6.0,5.0,25.0,5.0,3.0,False,True,False,False,False,False,False,False,False,20.0,3.044522437723423,12
6.0,5.0,15.0,2.0,8.0,False,False,False,False,False,False,True,False,False,8.0,2.1972245773362196,12
4.0,5.0,20.0,6.0,2.0,False,True,False,False,False,False,False,False,False,18.0,2.9444389791664403,12
4.0,5.0,100.0,6.0,4.0,False,False,False,False,False,True,False,False,False,40.0,3.713572066704308,12
6.0,8.0,100.0,8.0,2.0,True,False,False,False,False,False,False,False,False,70.0,4.2626798770413155,12
6.0,8.0,,8.0,8.0,False,False,False,False,False,False,False,True,False,10.0,2.3978952727983707,12
6.0,8.0,25.0,10.0,9.0,False,True,False,False,False,False,False,False,False,120.0,4.795790545596741,13
6.0,8.0,35.0,10.0,7.0,False,True,False,False,False,False,False,False,False,210.0,5.351858133476067,13
6.0,5.0,40.0,5.0,10.0,False,True,False,False,False,False,False,False,False,32.0,3.4965075614664802,13
6.0,5.0,40.0,5.0,9.0,False,True,False,False,False,False,False,False,False,40.0,3.713572066704308,13
5.0,10.0,100.0,10.0,8.0,True,False,False,False,False,False,False,False,False,160.0,5.081404364984463,13
5.0,10.0,,10.0,8.0,False,False,False,False,False,False,False,True,False,160.0,5.081404364984463,13
4.0,6.0,50.0,5.0,7.0,False,True,False,False,False,False,False,False,False,40.0,3.713572066704308,14
